Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
Andorra,100,1.98655998706818,,,6.076,84.041,0.00920324924573702,0,0,1,1,1,0,1,1
Angola,51.1,21.9300790830662,16000,61.0060684949815,6.925,64.617,0.945447457496034,9553,5535,8880,10592,52081,2500,35347,85579
Antigua and Barbuda,100,0.778936882592212,100,15.2770940766627,6.893,77.598,0.047449099184204,1,2,3,4,8,0,6,10
Argentina,100,0.834425396673236,4600,114.601250853291,7.668,77.395,0.045677677466147,636,866,2076,3063,4082,170,2519,4920
Armenia,100,6.15263461583682,520,15.6198270514165,8.2,77.4658536585366,0.0281187008695276,41,43,87,122,307,7,183,348
Aruba,100,,,,7.582,76.353,,,,,,,,,
Australia,100,1.84720003604889,,11.9363997006038,6.9,83.0512195121951,0.00354830151364281,119,150,438,644,953,7,703,1113
Austria,100,1.47475004196167,,,9.8,81.5414634146342,0.00719172816091795,30,38,143,190,209,5,154,251
Azerbaijan,100,9.29780491391866,500,29.3230268047255,5.9,74.429,0.0255772965262719,242,261,425,516,1691,22,1602,2443
"Bahamas, The",100,9.78304561421151,100,16.6562844389099,8.713,74.552,0.0929847216468503,5,8,17,41,49,3,40,55
Bahrain,100,0.197717369790444,100,,2.089,81.284,0.0301641485638747,19,19,29,46,143,3,86,171
Bangladesh,99.5,23.6398277259274,,7.51273274180019,5.01,74.672,0.262810154903884,7801,6870,18376,14108,84651,4000,62615,105531
Barbados,100,1.35496183206107,100,37.5905189264177,10.613,76.178,0.0501869682070716,2,3,7,13,29,1,22,32
Belarus,100,4.08553875236295,,,13.338,74.1837804878049,0.00103935611839151,52,57,135,192,131,1,50,177
Belgium,100,1.53434002399445,500,,9.4,82.3975609756098,0.00467175083425671,42,53,133,218,327,4,214,393
Belize,99.6,6.11458013443887,200,24.6926833331906,4.925,73.566,0.13651823177749,9,10,42,77,78,5,69,92
Benin,57,,900,4.50903316429009,8.797,60.774,2.26969682560058,4791,2216,3072,2679,21894,2500,13377,36395
Bermuda,100,,,,8.858,82.309,,,,,,,,,
